AreaCode,AreaName,AreaType
S01008562,Hyvots and Gilmerton - 04,Data Zones
S01008563,Hyvots and Gilmerton - 05,Data Zones
S01008560,Hyvots and Gilmerton - 02,Data Zones
S01008561,Hyvots and Gilmerton - 03,Data Zones
S01008566,Fernieside and Moredun South - 03,Data Zones
S01008567,Fernieside and Moredun South - 04,Data Zones
S01008564,Fernieside and Moredun South - 01,Data Zones
S01008565,Fernieside and Moredun South - 02,Data Zones
S01008555,"Gracemount, Southhouse and Burdiehouse - 03",Data Zones
S01008556,"Gracemount, Southhouse and Burdiehouse - 04",Data Zones
S01008553,"Gracemount, Southhouse and Burdiehouse - 01",Data Zones
S01008554,"Gracemount, Southhouse and Burdiehouse - 02",Data Zones
S01008558,"Gracemount, Southhouse and Burdiehouse - 06",Data Zones
S01008559,Hyvots and Gilmerton - 01,Data Zones
S01008557,"Gracemount, Southhouse and Burdiehouse - 05",Data Zones
S01008578,Liberton West and Braid Hills - 02,Data Zones
S01008579,Liberton West and Braid Hills - 03,Data Zones
S01008576,Liberton East - 04,Data Zones
S01008577,Liberton West and Braid Hills - 01,Data Zones
S01008582,The Inch - 02,Data Zones
S01008583,The Inch - 03,Data Zones
S01008580,Liberton West and Braid Hills - 04,Data Zones
S01008581,The Inch - 01,Data Zones
S01008571,Moredun and Craigour - 03,Data Zones
S01008572,Moredun and Craigour - 04,Data Zones
S01008568,Fernieside and Moredun South - 05,Data Zones
S01008570,Moredun and Craigour - 02,Data Zones
S01008574,Liberton East - 02,Data Zones
S01008575,Liberton East - 03,Data Zones
S01008573,Liberton East - 01,Data Zones
S01008532,Oxgangs - 04,Data Zones
S01008534,Comiston and Swanston - 02,Data Zones
S01008530,Oxgangs - 02,Data Zones
S01008531,Oxgangs - 03,Data Zones
S01008537,Comiston and Swanston - 05,Data Zones
S01008538,Comiston and Swanston - 06,Data Zones
S01008535,Comiston and Swanston - 03,Data Zones
S01008536,Comiston and Swanston - 04,Data Zones
S01008525,Colinton Mains and Firrhill - 02,Data Zones
S01008526,Colinton Mains and Firrhill - 03,Data Zones
S01008523,Greenbank and The Braids - 05,Data Zones
S01008524,Colinton Mains and Firrhill - 01,Data Zones
S01008528,Colinton Mains and Firrhill - 05,Data Zones
S01008529,Oxgangs - 01,Data Zones
S01008527,Colinton Mains and Firrhill - 04,Data Zones
S01008548,Gilmerton South and the Murrays - 02,Data Zones
S01008549,Gilmerton South and the Murrays - 03,Data Zones
S01008546,Fairmilehead - 06,Data Zones
S01008547,Gilmerton South and the Murrays - 01,Data Zones
S01008551,Mortonhall and Anwickhill - 02,Data Zones
S01008552,Mortonhall and Anwickhill - 03,Data Zones
S01008550,Mortonhall and Anwickhill - 01,Data Zones
S01008541,Fairmilehead - 01,Data Zones
S01008542,Fairmilehead - 02,Data Zones
S01008539,Comiston and Swanston - 07,Data Zones
S01008540,Comiston and Swanston - 08,Data Zones
S01008544,Fairmilehead - 04,Data Zones
S01008545,Fairmilehead - 05,Data Zones
S01008543,Fairmilehead - 03,Data Zones
S01008622,Marchmont West - 06,Data Zones
S01008623,Marchmont West - 07,Data Zones
S01008620,Marchmont West - 04,Data Zones
S01008621,Marchmont West - 05,Data Zones
S01008626,Morningside - 03,Data Zones
S01008627,Morningside - 04,Data Zones
S01008624,Morningside - 01,Data Zones
S01008625,Morningside - 02,Data Zones
S01008615,Marchmont East and Sciennes - 05,Data Zones
S01008616,Marchmont East and Sciennes - 06,Data Zones
S01008613,Marchmont East and Sciennes - 03,Data Zones
S01008614,Marchmont East and Sciennes - 04,Data Zones
S01008618,Marchmont West - 02,Data Zones
S01008619,Marchmont West - 03,Data Zones
S01008617,Marchmont West - 01,Data Zones
S01008637,Merchiston and Greenhill - 06,Data Zones
S01008638,Bruntsfield - 01,Data Zones
S01008635,Merchiston and Greenhill - 04,Data Zones
S01008636,Merchiston and Greenhill - 05,Data Zones
S01008641,Bruntsfield - 04,Data Zones
S01008642,Bruntsfield - 05,Data Zones
S01008639,Bruntsfield - 02,Data Zones
S01008640,Bruntsfield - 03,Data Zones
S01008630,Morningside - 07,Data Zones
S01008631,Morningside - 08,Data Zones
S01008628,Morningside - 05,Data Zones
S01008629,Morningside - 06,Data Zones
S01008633,Merchiston and Greenhill - 02,Data Zones
S01008634,Merchiston and Greenhill - 03,Data Zones
S01008632,Merchiston and Greenhill - 01,Data Zones
S01008593,"Blackford, West Mains and Mayfield Road - 07",Data Zones
S01008594,"Blackford, West Mains and Mayfield Road - 08",Data Zones
S01008591,"Blackford, West Mains and Mayfield Road - 05",Data Zones
S01008592,"Blackford, West Mains and Mayfield Road - 06",Data Zones
S01008597,Prestonfield - 03,Data Zones
S01008598,Prestonfield - 04,Data Zones
S01008595,Prestonfield - 01,Data Zones
S01008596,Prestonfield - 02,Data Zones
