FeatureCode,DateCode,Measurement,Units,Value,Residential Status
S12000021,2016,Count,Children,157,Other Community Placement
S12000021,2015,Count,Children,176,Other Community Placement
S12000041,2017,Count,Children,255,All
S12000021,2010,Count,Children,119,Foster / Prospective Adopters
S12000021,2017,Count,Children,77,Residential Care
S12000041,2012,Count,Children,15,Residential Care
S12000021,2015,Count,Children,230,At Home
S12000021,2012,Count,Children,61,Residential Care
S12000021,2018,Count,Children,167,Foster / Prospective Adopters
S12000021,2014,Count,Children,218,At Home
S12000021,2014,Count,Children,601,All
S12000041,2010,Count,Children,274,All
S12000021,2017,Count,Children,140,Other Community Placement
S12000041,2017,Count,Children,20,Residential Care
S12000021,2011,Count,Children,583,All
S12000021,2017,Count,Children,585,All
S12000021,2013,Count,Children,587,All
S12000021,2015,Count,Children,639,All
S12000021,2009,Count,Children,102,Foster / Prospective Adopters
S12000021,2018,Count,Children,183,At Home
S12000021,2012,Count,Children,194,Other Community Placement
S12000021,2017,Count,Children,185,At Home
S12000021,2016,Count,Children,603,All
S12000021,2010,Count,Children,529,All
S12000041,2009,Count,Children,16,Residential Care
S12000041,2010,Count,Children,16,Residential Care
S12000021,2009,Count,Children,501,All
S12000021,2012,Count,Children,582,All
S12000041,2016,Count,Children,21,Residential Care
S12000021,2015,Count,Children,180,Foster / Prospective Adopters
S12000021,2009,Count,Children,60,Residential Care
S12000041,2014,Count,Children,272,All
S12000021,2009,Count,Children,121,Other Community Placement
S12000021,2013,Count,Children,216,At Home
S12000021,2018,Count,Children,563,All
S12000021,2013,Count,Children,170,Other Community Placement
S12000041,2012,Count,Children,40,Other Community Placement
S12000021,2018,Count,Children,64,Residential Care
S12000021,2012,Count,Children,210,At Home
S12000021,2011,Count,Children,129,Foster / Prospective Adopters
S12000021,2010,Count,Children,165,Other Community Placement
S12000041,2012,Count,Children,76,At Home
S12000021,2016,Count,Children,175,Foster / Prospective Adopters
S12000021,2013,Count,Children,65,Residential Care
S12000041,2010,Count,Children,53,At Home
S12000021,2011,Count,Children,57,Residential Care
S12000041,2015,Count,Children,92,At Home
S12000021,2016,Count,Children,212,At Home
S12000021,2012,Count,Children,117,Foster / Prospective Adopters
S12000041,2009,Count,Children,261,All
S12000021,2010,Count,Children,63,Residential Care
S12000041,2013,Count,Children,69,At Home
S12000041,2011,Count,Children,250,All
S12000021,2013,Count,Children,136,Foster / Prospective Adopters
S12000021,2010,Count,Children,182,At Home
S12000021,2017,Count,Children,183,Foster / Prospective Adopters
S12000021,2009,Count,Children,218,At Home
S12000042,2011,Count,Children,213,Other Community Placement
S12000042,2009,Count,Children,587,All
S12000042,2010,Count,Children,637,All
S12000042,2015,Count,Children,137,Other Community Placement
S12000042,2018,Count,Children,105,At Home
S12000020,2009,Count,Children,208,All
S12000020,2014,Count,Children,213,All
S12000020,2017,Count,Children,38,At Home
S12000020,2016,Count,Children,42,At Home
S12000020,2016,Count,Children,104,Foster / Prospective Adopters
S12000020,2018,Count,Children,89,Foster / Prospective Adopters
S12000020,2012,Count,Children,219,All
S12000020,2011,Count,Children,64,At Home
S12000020,2012,Count,Children,55,At Home
S12000020,2018,Count,Children,48,Residential Care
